"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11236","JINSTA","EQ","JINDAL STAINLESS LIMITED",0.01,1,"","",0,2,"INE220G01021",848,568.05,848,14.2,"","","",0,0,0,717.05,586.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JSL"
"11239","NALSON","EQ","NALWA SONS INVESTMENT LTD",0.01,1,"","",0,10,"INE023A01030",9974,3030.3,9974,22.55,"","","",0,0,0,6440.3,4293.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NSIL"
"1124","SKSTEX","ST","S K S TEXTILES LIMITED",0.01,1,"","",0,10,"INE507Y01016",0,0,151,13.05,"","","",0,0,0,14.45,13.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SKSTEXTILE"
"11241","HDFG15","EQ","HDFC NIF GROWTH SECTORS 15 ETF",0.01,1,"","",0,89.04,"INF179KC1DJ0",147,105.02,147,83.3,"","","",0,0,0,132.45,88.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCGROWTH"
"11251","PERINF","ST","PERFECT INFRAENGINEERS LIMITED",0.01,1,"","",0,10,"INE925S01012",0,0,61.35,7.9,"","","",0,0,0,11.7,10.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PERFECT"
"11253","WELIND","EQ","WELSPUN LIVING LIMITED",0.01,1,"","",0,1,"INE192B01031",212.95,104.8,212.95,0.5,"","","",0,0,0,145.33,96.88,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WELSPUNLIV"
"11255","HDFQ30","EQ","HDFC NIFTY100 QUALITY 30 ETF",0.01,1,"","",0,38.59,"INF179KC1DL6",66.28,49.53,66.28,36.53,"","","",0,0,0,61.87,41.24,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCQUAL"
"11256","JAIBAL","EQ","JAI BALAJI INDUSTRIES LIMITED",0.01,1,"","",0,2,"INE091G01026",253.95,123.7,262.8,0.96,"","","",0,0,0,171.01,114,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JAIBALAJI"
"11260","HDFV20","EQ","HDFC NIFTY50 VALUE 20 ETF",0.01,1,"","",0,86.07,"INF179KC1DK8",155.7,120.83,155.7,82.04,"","","",0,0,0,152.29,101.52,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCVALUE"
"11262","INDGAS","EQ","INDRAPRASHTHA GAS LTD",0.01,1,"","",0,2,"INE203G01027",285.18,153.05,301.03,5.57,"","","",0,0,0,206.89,169.28,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IGL"
"11265","TVSELE","EQ","TVS ELECTRONICS LTD",0.01,1,"","",0,10,"INE236G01019",490,238,556.05,11.7,"","","",0,0,0,371.1,247.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TVSELECT"
