"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"1965","OPTCUR","EURINR","OPTION","26-Jun-2025",89.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.045,0.145,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0425,"EURINR"
"2059","OPTCUR","EURINR","OPTION","26-Jun-2025",93.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.4375,0.9225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.3675,"EURINR"
"2558","OPTCUR","GBPINR","OPTION","26-Jun-2025",102.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",7.9025,9.9475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.94,"GBPINR"
"2778","OPTCUR","GBPINR","OPTION","26-Jun-2025",109.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.6825,1.3725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.7325,"GBPINR"
"15302","OPTCUR","USDINR","OPTION","26-Jun-2025",81.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.545,6.205,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.34,"USDINR"
"15204","OPTCUR","JPYINR","OPTION","26-Jun-2025",52.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.72,8.37,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.755,"JPYINR"
"15203","OPTCUR","JPYINR","OPTION","26-Jun-2025",51.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.005,0.025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"JPYINR"
"7266","OPTCUR","JPYINR","OPTION","26-Jun-2025",46.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0225,"JPYINR"
"15189","OPTCUR","JPYINR","OPTION","26-Jun-2025",50.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.01,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"JPYINR"
"15224","OPTCUR","JPYINR","OPTION","26-Jun-2025",54.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.415,5.965,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.3475,"JPYINR"
